@relation tutorial3.arff-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R28-weka.filters.unsupervised.attribute.Remove-R7

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute legal_north {None,North}
@attribute legal_south {None,South}
@attribute legal_east {None,East}
@attribute legal_west {None,West}
@attribute ghost1_alive {True,False}
@attribute ghost2_alive {True,False}
@attribute ghost3_alive {True,False}
@attribute ghost4_alive {True,False}
@attribute distance_ghost1 numeric
@attribute distance_ghost2 numeric
@attribute distance_ghost3 numeric
@attribute distance_ghost4 numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute dots_left numeric
@attribute closest_dot numeric
@attribute score numeric
@attribute next_action {Stop,East,West,South,North}

@data
12,11,North,South,East,West,True,True,True,True,12,8,6,2,5,6,5,12,13,6,13,12,1,8,-1,North
12,12,North,South,East,West,True,True,True,True,12,7,8,2,6,6,5,12,13,5,13,13,1,9,-2,North
12,13,North,South,East,West,True,True,True,True,13,8,8,2,6,6,5,12,12,5,13,12,1,10,-3,North
12,12,North,South,East,West,True,True,True,True,11,8,7,2,6,7,5,11,12,5,13,13,1,9,-4,South
12,13,North,South,East,West,True,True,True,True,13,10,9,2,5,7,4,11,13,5,13,12,1,10,-5,North
12,12,North,South,East,West,True,True,True,True,11,10,8,2,5,8,3,11,13,5,14,12,1,9,-6,South
13,12,North,South,East,West,True,True,True,True,11,12,6,2,5,9,2,11,13,6,14,11,1,8,-7,East
13,11,North,South,East,West,True,True,True,True,9,12,4,2,6,9,2,12,13,7,14,10,1,7,-8,South
13,10,North,South,East,West,True,True,True,True,7,12,3,2,6,10,2,11,13,7,15,10,1,6,-9,South
14,10,North,South,East,West,True,True,True,True,7,12,5,2,7,10,3,11,13,6,15,11,1,5,-10,East
14,11,North,South,East,West,True,True,True,True,9,12,6,1,7,9,2,11,13,6,15,11,1,6,-11,North
15,11,North,South,East,West,True,True,True,True,11,14,6,1,7,8,2,12,13,7,15,10,1,5,-12,East
15,10,North,South,East,West,True,True,True,True,11,15,4,1,7,7,2,12,13,8,15,9,1,4,-13,South
15,9,North,South,East,West,True,True,True,False,9,15,3,1000,7,8,2,11,13,8,7,1,1,3,186,South
15,8,North,South,East,West,True,True,True,False,9,15,1,1000,7,9,3,11,14,8,7,1,1,4,185,South
14,8,North,South,East,West,True,True,True,False,8,15,1,1000,7,9,3,12,13,8,7,1,1,5,184,West
14,7,North,South,East,West,True,True,True,False,8,17,1,1000,7,8,3,13,13,7,7,1,1,6,183,South
13,7,North,South,East,West,True,True,True,False,6,15,1,1000,8,8,4,13,12,7,7,1,1,7,182,West
13,6,North,South,East,West,True,True,True,False,6,16,1,1000,9,8,4,13,12,6,7,1,1,8,181,South
13,7,North,South,East,West,True,True,True,False,6,16,1,1000,9,9,4,14,12,7,7,1,1,7,180,North
13,8,North,South,East,West,True,True,True,False,6,16,1,1000,9,10,3,14,12,8,7,1,1,6,179,North
12,8,North,South,East,West,True,True,False,False,5,16,1000,1000,9,10,2,14,12,8,7,1,1,7,378,West
12,9,North,South,East,West,True,True,False,False,3,14,1000,1000,10,10,3,14,5,1,7,1,1,6,377,North
11,9,North,South,East,West,True,True,False,False,1,12,1000,1000,10,9,3,13,5,1,7,1,1,7,376,West
10,9,North,South,East,West,False,True,False,False,1000,12,1000,1000,10,9,2,13,5,1,7,1,1,8,575,West
9,9,North,South,East,West,False,True,False,False,1000,10,1000,1000,1,1,3,13,5,1,7,1,1,9,574,West
