@relation tutorial3.arff-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R28

@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute legal_north {None,North}
@attribute legal_south {None,South}
@attribute legal_east {None,East}
@attribute legal_west {None,West}
@attribute pacman_direction {Stop,East,West,South,North}
@attribute ghost1_alive {True,False}
@attribute ghost2_alive {True,False}
@attribute ghost3_alive {True,False}
@attribute ghost4_alive {True,False}
@attribute distance_ghost1 numeric
@attribute distance_ghost2 numeric
@attribute distance_ghost3 numeric
@attribute distance_ghost4 numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute dots_left numeric
@attribute closest_dot numeric
@attribute score numeric
@attribute next_action {Stop,East,West,South,North}

@data
1,11,None,South,East,None,Stop,True,True,True,True,11,7,7,18,6,5,6,9,8,11,14,6,2,14,-1,Stop
1,11,None,South,East,None,Stop,True,True,True,True,10,8,6,19,5,5,6,8,7,11,14,5,2,14,-2,Stop
1,11,None,South,East,None,Stop,True,True,True,True,10,7,5,18,5,5,5,8,6,11,13,5,2,14,-3,Stop
2,11,None,None,East,West,East,True,True,True,True,10,7,4,18,5,4,5,7,6,11,13,4,2,13,-4,East
3,11,None,None,East,West,East,True,True,True,True,8,6,4,18,4,4,5,7,7,11,14,4,2,12,-5,East
4,11,None,None,East,West,East,True,True,True,True,8,4,2,16,4,3,5,8,6,11,14,5,2,11,-6,East
5,11,None,South,East,West,East,True,True,True,True,8,4,2,14,5,3,6,8,7,11,13,5,2,10,-7,East
6,11,None,South,East,West,East,True,True,True,True,10,4,2,14,4,3,7,8,8,11,14,5,2,9,-8,East
7,11,None,None,East,West,East,True,True,True,True,10,3,2,12,5,3,7,8,9,11,14,6,2,8,-9,East
8,11,None,None,East,West,East,True,True,True,True,10,4,1,12,6,3,7,8,9,11,14,5,2,7,-10,East
9,11,None,None,East,West,East,True,True,True,True,11,5,1,10,6,3,7,8,10,11,14,6,2,6,-11,East
10,11,None,South,East,West,East,True,True,False,True,12,7,1000,8,6,3,6,8,10,11,14,7,2,5,188,East
10,10,North,South,East,None,South,True,True,False,True,10,7,1000,8,7,3,5,8,5,1,14,6,2,4,187,South
10,9,North,South,East,West,South,True,True,False,True,10,6,1000,6,6,3,5,8,5,1,14,7,2,3,186,South
9,9,None,South,East,West,West,True,True,False,True,8,6,1000,7,6,4,5,7,5,1,14,7,2,4,185,West
8,9,None,South,East,West,West,True,True,False,True,8,5,1000,9,5,4,5,7,5,1,14,6,2,5,184,West
7,9,None,South,East,West,West,True,True,False,True,7,3,1000,9,5,4,6,7,5,1,14,7,2,6,183,West
7,8,North,South,East,West,South,True,True,False,True,7,2,1000,8,4,4,6,7,5,1,14,7,2,5,182,South
7,7,North,None,East,West,South,True,False,False,True,7,1000,1000,8,4,3,7,7,5,1,15,7,2,4,381,South
6,7,North,None,East,West,West,True,False,False,True,7,1000,1000,8,3,3,3,1,5,1,14,7,2,5,380,West
7,7,North,None,East,West,East,True,False,False,True,7,1000,1000,8,3,4,3,1,5,1,14,8,2,4,379,East
8,7,North,South,East,West,East,True,False,False,True,7,1000,1000,7,4,4,3,1,5,1,14,8,2,3,378,East
8,6,North,South,East,None,South,True,False,False,True,5,1000,1000,9,4,5,3,1,5,1,15,8,2,2,377,South
8,5,North,South,East,West,South,True,False,False,True,3,1000,1000,11,5,5,3,1,5,1,15,9,2,3,376,South
7,5,None,South,East,West,West,True,False,False,True,3,1000,1000,12,4,5,3,1,5,1,15,9,2,4,375,West
6,5,None,South,East,West,West,True,False,False,True,1,1000,1000,12,5,5,3,1,5,1,15,8,2,5,374,West
5,5,None,South,East,West,West,True,False,False,True,1,1000,1000,13,5,4,3,1,5,1,15,8,2,6,373,West
4,5,None,South,East,West,West,True,False,False,True,3,1000,1000,14,6,4,3,1,5,1,15,8,2,7,372,West
5,5,None,South,East,West,East,True,False,False,True,1,1000,1000,14,6,5,3,1,5,1,16,8,2,6,371,East
6,5,None,South,East,West,East,False,False,False,True,1000,1000,1000,12,1,1,3,1,5,1,15,8,2,5,570,East
7,5,None,South,East,West,East,False,False,False,True,1000,1000,1000,12,1,1,3,1,5,1,15,9,2,4,569,East
8,5,North,South,East,West,East,False,False,False,True,1000,1000,1000,10,1,1,3,1,5,1,14,9,2,3,568,East
9,5,North,South,East,West,East,False,False,False,True,1000,1000,1000,10,1,1,3,1,5,1,14,10,2,2,567,East
9,6,North,South,East,West,North,False,False,False,True,1000,1000,1000,9,1,1,3,1,5,1,14,10,2,1,566,North
9,7,North,South,East,West,North,False,False,False,True,1000,1000,1000,8,1,1,3,1,5,1,14,10,2,2,565,North
10,7,North,South,None,West,East,False,False,False,True,1000,1000,1000,6,1,1,3,1,5,1,14,9,2,1,564,East
10,7,North,South,None,West,East,False,False,False,True,1000,1000,1000,6,1,1,3,1,5,1,14,9,2,1,563,Stop
10,8,North,South,None,West,North,False,False,False,True,1000,1000,1000,6,1,1,3,1,5,1,15,9,2,2,562,North
10,9,North,South,East,West,North,False,False,False,True,1000,1000,1000,5,1,1,3,1,5,1,15,9,2,3,561,North
11,9,North,None,East,West,East,False,False,False,True,1000,1000,1000,5,1,1,3,1,5,1,15,8,2,4,560,East
12,9,None,South,East,West,East,False,False,False,True,1000,1000,1000,5,1,1,3,1,5,1,16,8,2,3,559,East
13,9,None,South,East,West,East,False,False,False,True,1000,1000,1000,5,1,1,3,1,5,1,17,8,2,2,558,East
14,9,North,South,East,West,East,False,False,False,True,1000,1000,1000,5,1,1,3,1,5,1,17,7,2,1,557,East
15,9,None,South,East,West,East,False,False,False,True,1000,1000,1000,3,1,1,3,1,5,1,16,7,2,2,556,East
15,8,North,South,East,West,South,False,False,False,True,1000,1000,1000,2,1,1,3,1,5,1,16,7,2,3,555,South
15,7,North,None,East,West,South,False,False,False,True,1000,1000,1000,2,1,1,3,1,5,1,17,7,2,4,554,South
16,7,None,None,None,None,East,False,False,False,False,1000,1000,1000,1000,1,1,3,1,5,1,16,7,2,5,753,East
12,10,North,South,East,West,Stop,True,True,True,True,11,9,5,3,5,6,5,12,13,6,13,12,1,7,-1,Stop
13,10,North,South,East,West,East,True,True,True,True,11,10,3,1,5,7,5,12,13,7,13,11,1,6,-2,East
13,11,North,South,East,West,North,True,True,True,True,11,10,5,1,5,8,4,12,14,7,12,11,1,7,-3,North
13,12,North,South,East,West,North,True,True,True,True,11,10,5,3,5,9,4,13,13,7,12,10,1,8,-4,North
12,12,North,South,East,West,West,True,True,True,True,10,8,5,2,5,9,4,12,12,7,12,10,1,9,-5,West
12,11,North,South,East,West,South,True,True,True,True,10,10,3,2,5,8,4,13,12,8,12,9,1,8,-6,South
12,10,North,South,East,West,South,True,True,True,True,9,12,1,2,5,8,3,13,12,9,12,8,1,7,-7,South
12,9,North,South,East,West,South,True,True,False,True,7,12,1000,1,5,9,3,12,12,9,12,8,1,6,192,South
12,8,North,South,East,West,South,True,True,False,True,9,14,1000,1,4,9,2,12,5,1,13,8,1,7,191,South
12,7,North,South,East,West,South,True,True,False,False,9,15,1000,1000,4,8,2,12,5,1,7,1,1,8,390,South
13,7,North,South,East,West,East,True,True,False,False,9,17,1000,1000,4,7,2,13,5,1,7,1,1,7,389,East
12,7,North,South,East,West,West,True,True,False,False,9,17,1000,1000,4,6,1,13,5,1,7,1,1,8,388,West
11,7,North,South,East,West,West,True,True,False,False,9,16,1000,1000,3,6,1,13,5,1,7,1,1,9,387,West
10,7,North,South,East,West,West,True,True,False,False,7,16,1000,1000,3,7,1,14,5,1,7,1,1,10,386,West
9,7,North,South,East,West,West,True,True,False,False,7,15,1000,1000,2,7,1,14,5,1,7,1,1,11,385,West
8,7,North,South,East,West,West,True,True,False,False,7,14,1000,1000,2,8,1,14,5,1,7,1,1,12,384,West
7,7,North,South,East,West,West,True,True,False,False,6,12,1000,1000,2,8,1,13,5,1,7,1,1,13,383,West
6,7,North,South,East,West,West,True,True,False,False,5,10,1000,1000,2,8,1,12,5,1,7,1,1,14,382,West
5,7,North,South,East,West,West,True,True,False,False,5,9,1000,1000,2,9,1,12,5,1,7,1,1,15,381,West
4,7,North,South,East,West,West,True,True,False,False,5,7,1000,1000,1,9,2,12,5,1,7,1,1,16,380,West
3,7,North,South,East,West,West,True,True,False,False,3,5,1000,1000,1,8,2,11,5,1,7,1,1,17,379,West
2,7,North,South,East,West,West,True,True,False,False,3,5,1000,1000,1,9,3,11,5,1,7,1,1,18,378,West
1,7,North,South,East,None,West,True,True,False,False,1,7,1000,1000,1,8,3,12,5,1,7,1,1,19,377,West
1,8,North,South,East,None,North,True,True,False,False,1,6,1000,1000,1,9,3,12,5,1,7,1,1,18,376,North
2,8,North,South,East,West,East,True,True,False,False,2,6,1000,1000,1,9,4,12,5,1,7,1,1,17,375,East
3,8,North,South,East,West,East,True,True,False,False,2,5,1000,1000,2,9,4,12,5,1,7,1,1,16,374,East
3,9,None,South,East,West,North,True,True,False,False,2,3,1000,1000,1,9,4,11,5,1,7,1,1,15,373,North
2,9,None,South,East,West,West,True,True,False,False,2,5,1000,1000,1,8,4,12,5,1,7,1,1,16,372,West
1,9,None,South,East,None,West,True,True,False,False,1,6,1000,1000,1,8,4,12,5,1,7,1,1,17,371,West
1,8,North,South,East,None,South,False,True,False,False,1000,6,1000,1000,1,1,4,11,5,1,7,1,1,18,570,South
2,8,North,South,East,West,East,False,True,False,False,1000,5,1000,1000,1,1,4,11,5,1,7,1,1,17,569,East
